Name: Accursed Wendigo m_name: WendigoAccursed m_nameLoc: Unique_DefEd_Wendigo
Name: Altered Gargoyle m_name: GargoyleAltered m_nameLoc: Unique_DefEd_AlteredGargoyle
Name: Ancestral General m_name: SkeletonBig (1) m_nameLoc: Unique_DefEd_AncestorBig
Name: Ancestral Soldier m_name: SkeletonSmall (1) m_nameLoc: Unique_DefEd_AncestorSmall
Name: Bloody Alexis m_name: HumanArmoredThug m_nameLoc: Unique_DefEd_ArmoredThug
Name: Calygrey Hero m_name: LionmanElite (1) m_nameLoc: Elite_Calygrey
Name: Chromatic Arcane Elemental m_name: ElementalChromatic m_nameLoc: Unique_DefEd_ChromaElemental
Name: Cracked Gargoyle m_name: GargoyleCracked m_nameLoc: Unique_DefEd_CrackedGargoyle
Name: Crescent Shark m_name: CrescentShark (4) m_nameLoc: Wildlife_CrescentShark
Name: Executioner Bug m_name: ExecutionerBug m_nameLoc: Unique_DefEd_ExecutionerBug
Name: Golden Matriarch m_name: SpecterMeleeMatriarch m_nameLoc: Unique_DefEd_GoldenMatriarch
Name: Grandmother Medyse m_name: JellyFishMother m_nameLoc: Unique_DefEd_GrandmotherMedyse
Name: Greater Grotesque m_name: ImmaculateHorrorGreater m_nameLoc: Unique_DefEd_GreaterGrotestue
Name: Guardian of the Compass m_name: GolemBoss m_nameLoc: Golem_Basic2
Name: Kazite Admiral m_name: HumanKaziteCaptain m_nameLoc: Unique_DefEd_KaziteCaptain
Name: Lightning Dancer m_name: BladeDancerLight m_nameLoc: Unique_DefEd_LightningDancer
Name: Liquid-Cooled Golem m_name: GolemShieldedIce m_nameLoc: Unique_DefEd_LiquidGolem
Name: Luke the Pearlescent m_name: NewBanditEquip_WhiteScavengerCaptainBoss_A (1) m_nameLoc: Bandit_Standard_Captain2
Name: Mad Captain’s Bones m_name: SkeletFighter m_nameLoc: Undead_Skeleton2
Name: Matriarch Myrmitaur m_name: MyrmElite (1) m_nameLoc: Elite_Myrm
Name: Quartz Elemental m_name: ObsidianElementalQuartz m_nameLoc: Unique_DefEd_QuartzElemental
Name: Razorhorn Stekosaur m_name: SteakosaurBlack (1) m_nameLoc: Unique_DefEd_BlackSteko
Name: The Royal Manticore m_name: RoyalManticore m_nameLoc: Wildlife_Manticore2
Name: Sandrose Horror m_name: ShelledHorrorBurning m_nameLoc: Unique_DefEd_SandroseHorror
Name: She Who Speaks m_name: AncientDwellerSpeak m_nameLoc: Unique_DefEd_BossDweller
Name: That Annoying Troglodyte m_name: TroglodyteAnnoying m_nameLoc: Unique_DefEd_AnnoyingTrog
Name: The Crusher m_name: HumanCrusher (1) m_nameLoc: Unique_DefEd_DesertCrusher
Name: The First Cannibal m_name: WendigoCanibal m_nameLoc: Wildlife_Wendigo2
Name: The Last Acolyte m_name: HumanAcolyte (1) m_nameLoc: Unique_DefEd_LastAcolyte
Name: Thunderbolt Golem m_name: ForgeGolemLight (1) m_nameLoc: Unique_DefEd_ProtypeForgeGolem
Name: Tyrant of the Hive m_name: HiveLord1AID+ m_nameLoc: Undead_Hivelord2
Name: Vile Illuminator m_name: IlluminatorHorrorVile m_nameLoc: Unique_DefEd_VileIlluminator
Name: Virulent Hiveman m_name: HiveManVirulent m_nameLoc: Unique_DefEd_VirulentHiveman
Name: Volcanic Gastrocin m_name: SlughellVolcanic m_nameLoc: Unique_DefEd_VolcanicSlug


Total characters found in scenes: 658
{ UniqueEnemies.Accursed_Wendigo, new("Accursed Wendigo", "WendigoAccursed", "Unique_DefEd_Wendigo", "ElxncPIfuEuWkexSKkqFXg", "Corrupted Tombs", "Corrupted Tombs");
{ UniqueEnemies.Altered_Gargoyle, new("Altered Gargoyle", "GargoyleAltered", "Unique_DefEd_AlteredGargoyle", "dhQVMNRU5kCIWsWRFYpDdw", "Ziggurat Passage", "Ziggurat Passage");
{ UniqueEnemies.Ancestral_General, new("Ancestral General", "SkeletonBig (1)", "Unique_DefEd_AncestorBig", "XVuyIaCAVkatv89kId9Uqw", "Necropolis", "Necropolis");
{ UniqueEnemies.Ancestral_Soldier, new("Ancestral Soldier", "SkeletonSmall (1)", "Unique_DefEd_AncestorSmall", "IwZYxBIQZkaXXMWT9HC5nA", "Necropolis", "Necropolis");
{ UniqueEnemies.Bloody_Alexis, new("Bloody Alexis", "HumanArmoredThug", "Unique_DefEd_ArmoredThug", "VfYPPb4wcESdDVSiEq4UhA", "Undercity Passage", "Undercity Passage");
{ UniqueEnemies.Calygrey_Hero, new("Calygrey Hero", "LionmanElite (1)", "Elite_Calygrey", "pMfhK69Stky7MvE9Ro0XMQ", "Steam Bath Tunnels", "Steam Bath Tunnels");
{ UniqueEnemies.Chromatic_Arcane_Elemental, new("Chromatic Arcane Elemental", "ElementalChromatic", "Unique_DefEd_ChromaElemental", "RM13rq4JTEqbuANnncMCKA", "Compromised Mana Transfer Station", "Compromised Mana Transfer Station");
{ UniqueEnemies.Cracked_Gargoyle, new("Cracked Gargoyle", "GargoyleCracked", "Unique_DefEd_CrackedGargoyle", "-McLNdZsNEa3itw-ny7YBw", "Ark of the Exiled", "Ark of the Exiled");
{ UniqueEnemies.Elemental_Parasite, new("Crescent Shark", "CrescentShark (4)", "Wildlife_CrescentShark", "kza9OId_oEK1jz8ty0odeA", "Crumbling Loading Docks", "Crumbling Loading Docks");
{ UniqueEnemies.Executioner_Bug, new("Executioner Bug", "ExecutionerBug", "Unique_DefEd_ExecutionerBug", "MWplmyrxokSXELL63oWcAg", "The Slide", "The Slide");
{ UniqueEnemies.Golden_Matriarch, new("Golden Matriarch", "SpecterMeleeMatriarch", "Unique_DefEd_GoldenMatriarch", "GI-aE4Ry7UOIyAYYk7emFg", "Voltaic Hatchery", "Voltaic Hatchery");
{ UniqueEnemies.Grandmother_Medyse, new("Grandmother Medyse", "JellyFishMother", "Unique_DefEd_GrandmotherMedyse", "kp9R4kaoG02YfLdS9ROM4w", "Sulphuric Caverns", "Sulphuric Caverns");
{ UniqueEnemies.Greater_Grotesque, new("Greater Grotesque", "ImmaculateHorrorGreater", "Unique_DefEd_GreaterGrotestue", "JmeufMpL_E6eYnqCYP2r3w", "Lost Golem Manufacturing Facility", "Lost Golem Manufacturing Facility");
{ UniqueEnemies.Guardian_of_the_Compass, new("Guardian of the Compass", "GolemBoss", "Golem_Basic2", "BINT--E9xUaCgp4onBM54g", "The Walled Garden", "Abrassar");
{ UniqueEnemies.Kazite_Admiral, new("Kazite Admiral", "HumanKaziteCaptain", "Unique_DefEd_KaziteCaptain", "XVuyIaCAVkatv89kId9Uqw", "Abandoned Living Quarters", "Abandoned Living Quarters");
{ UniqueEnemies.Lightning_Dancer, new("Lightning Dancer", "BladeDancerLight", "Unique_DefEd_LightningDancer", "QRzc3AYY10CWyXOMgrIQTg", "Ancient Foundry", "Ancient Foundry");
{ UniqueEnemies.Liquid_Cooled_Golem, new("Liquid-Cooled Golem", "GolemShieldedIce", "Unique_DefEd_LiquidGolem", "8ztut4_yiEmK0-NFLa-XNQ", "Destroyed Test Chambers", "Destroyed Test Chambers");
